name,death_year,occupation,wikidata_id,wikidata_url
Kaliprasanna Bandyopadhyay,1929,writer,Q137397587,https://www.wikidata.org/wiki/Q137397587
Lalit Kumar Bandyopadhyay,1929,writer,Q51726270,https://www.wikidata.org/wiki/Q51726270
Mahendranath Karan,1929,writer,Q54612832,https://www.wikidata.org/wiki/Q54612832
Mahima Niranjan Chakraborty,1929,writer,Q118287173,https://www.wikidata.org/wiki/Q118287173
Manilal Gangopadhyay,1929,writer,Q50396550,https://www.wikidata.org/wiki/Q50396550
Nishikanta Basu Roy,1929,playwright|writer,Q28771242,https://www.wikidata.org/wiki/Q28771242
Ramprasanna Bandyopadhyay,1929,writer,Q51678789,https://www.wikidata.org/wiki/Q51678789
Sarasibala Basu,1929,novelist|poet|writer,Q7423208,https://www.wikidata.org/wiki/Q7423208
Satish Chandra Ghosh,1929,writer,Q54541469,https://www.wikidata.org/wiki/Q54541469
Subodh Chandra Majumdar,1929,writer,Q97144103,https://www.wikidata.org/wiki/Q97144103
Sudhindranath Tagore,1929,novelist|writer,Q27883154,https://www.wikidata.org/wiki/Q27883154
Akshay Kumar Maitreya,1930,writer,Q4701814,https://www.wikidata.org/wiki/Q4701814
Chunilal Bose,1930,writer,Q48796747,https://www.wikidata.org/wiki/Q48796747
Harish Chandra Niyogi,1930,poet,Q54567307,https://www.wikidata.org/wiki/Q54567307
Kuladananda Brahmachari,1930,writer,Q64343454,https://www.wikidata.org/wiki/Q64343454
Mokshadayini Mukhopadhyay,1930,journalist|writer,Q31725397,https://www.wikidata.org/wiki/Q31725397
Pramathalal Sen,1930,writer,Q7238243,https://www.wikidata.org/wiki/Q7238243
Rakhaldas Bandyopadhyay,1930,novelist|writer,Q7286651,https://www.wikidata.org/wiki/Q7286651
Satish Chandra Sengupta,1930,writer,Q134162081,https://www.wikidata.org/wiki/Q134162081
Syed Abul Hossain,1930,poet|writer,Q120448692,https://www.wikidata.org/wiki/Q120448692
Uma Gupta,1930,poet|writer,Q13057266,https://www.wikidata.org/wiki/Q13057266
Abatar Chandra Laha,1931,writer,Q40725212,https://www.wikidata.org/wiki/Q40725212
Gurunath Vidyanidhi,1931,writer,Q5620528,https://www.wikidata.org/wiki/Q5620528
Haraprasad Shastri,1931,novelist|writer,Q3349834,https://www.wikidata.org/wiki/Q3349834
Hem Chandra Mukhopadhyay,1931,writer,Q54570154,https://www.wikidata.org/wiki/Q54570154
Ismail Hossain Siraji,1931,poet|writer,Q6084734,https://www.wikidata.org/wiki/Q6084734
Kanchanmala Bandyopadhyay,1931,writer,Q26990212,https://www.wikidata.org/wiki/Q26990212
Phul Kumari Gupta,1931,poet|writer,Q50277113,https://www.wikidata.org/wiki/Q50277113
Rasamoy Mitra,1931,writer,Q108405642,https://www.wikidata.org/wiki/Q108405642
Satish Chandra Mitra,1931,poet|writer,Q28771241,https://www.wikidata.org/wiki/Q28771241
Satish Chandra Roy,1931,poet,Q111754634,https://www.wikidata.org/wiki/Q111754634
Sheikh Abdur Rahim,1931,writer,Q7492888,https://www.wikidata.org/wiki/Q7492888
Surendranath Majumder,1931,writer,Q139815844,https://www.wikidata.org/wiki/Q139815844
Aghornath Chattopadhyay,1932,writer,Q40677631,https://www.wikidata.org/wiki/Q40677631
Bipin Chandra Pal,1932,essayist|writer,Q684198,https://www.wikidata.org/wiki/Q684198
Durgadas Lahiri,1932,writer,Q23011133,https://www.wikidata.org/wiki/Q23011133
Fakir Chandra Chattopadhyay,1932,writer,Q50276906,https://www.wikidata.org/wiki/Q50276906
Hem Chandra Sarkar,1932,essayist,Q18911485,https://www.wikidata.org/wiki/Q18911485
